1,5	9,35E-109
2,5	1,44E-27
3,5	1,89E-69
4,5	5,74E-34
5,5	9,69E-18
6,5	2,97E-09
7,5	2,22E-04
8,5	3,65E-01
9,5	2,12E+01
10,5	2,51E+02
11,5	1,65E+03
12,5	6,16E+03
13,5	2,03E+04
14,5	5,15E+04
15,5	1,06E+05
16,5	1,87E+05
17,5	2,95E+05
18,5	4,20E+05
19,5	5,61E+05
20,5	2,29E+04
21,5	3,09E+04
22,5	4,59E+04
23,5	2,81E+03
24,5	5,89E+03
25,5	1,15E+04
26,5	2,03E+04
27,5	3,37E+04
28,5	5,17E+04
29,5	7,43E+04
30,5	1,02E+05
31,5	1,32E+05
32,5	1,63E+05
33,5	1,96E+05
34,5	2,30E+05
35,5	2,64E+05
36,5	2,98E+05
37,5	3,27E+05
38,5	3,65E+05
39,5	3,92E+05
40,5	4,21E+05
41,5	4,45E+05
42,5	4,74E+05
43,5	4,90E+05
44,5	5,08E+05
45,5	5,28E+05
46,5	5,35E+05
47,5	5,48E+05
48,5	5,50E+05
49,5	5,54E+05
50,5	5,58E+05
51,5	5,57E+05
52,5	5,56E+05
53,5	5,52E+05
54,5	5,55E+05
55,5	5,38E+05
56,5	5,20E+05
57,5	5,07E+05
58,5	5,85E+05
59,5	6,47E+05
60,5	4,73E+05
61,5	4,49E+05
62,5	4,37E+05
63,5	4,21E+05
64,5	4,02E+05
65,5	3,77E+05
66,5	3,49E+05
67,5	3,94E+05
68,5	3,07E+05
69,5	2,91E+05
70,5	2,39E+05
71,5	2,26E+05
72,5	1,92E+05
73,5	1,65E+05
74,5	1,50E+05
75,5	1,23E+05
76,5	1,04E+05
77,5	7,50E+04
78,5	4,91E+04
79,5	2,02E+04
80,5	0,00E+00
