1,5	2,02E-85
2,5	2,72E-21
3,5	3,12E-56
4,5	7,02E-27
5,5	1,44E-13
6,5	1,30E-06
7,5	1,26E-02
8,5	6,01E+00
9,5	1,51E+02
10,5	9,95E+02
11,5	4,33E+03
12,5	1,20E+04
13,5	3,21E+04
14,5	6,91E+04
15,5	1,27E+05
16,5	2,04E+05
17,5	2,97E+05
18,5	4,03E+05
19,5	5,09E+05
20,5	6,46E+02
21,5	9,46E+02
22,5	1,73E+03
23,5	3,52E+03
24,5	7,20E+03
25,5	1,41E+04
26,5	2,57E+04
27,5	4,34E+04
28,5	6,64E+04
29,5	9,49E+04
30,5	1,27E+05
31,5	1,58E+05
32,5	1,90E+05
33,5	2,23E+05
34,5	2,52E+05
35,5	2,80E+05
36,5	3,04E+05
37,5	3,27E+05
38,5	3,51E+05
39,5	3,74E+05
40,5	3,94E+05
41,5	4,11E+05
42,5	4,30E+05
43,5	4,40E+05
44,5	4,58E+05
45,5	4,66E+05
46,5	4,72E+05
47,5	4,84E+05
48,5	4,80E+05
49,5	4,84E+05
50,5	4,81E+05
51,5	4,86E+05
52,5	4,82E+05
53,5	4,72E+05
54,5	4,70E+05
55,5	4,64E+05
56,5	4,52E+05
57,5	4,38E+05
58,5	5,74E+05
59,5	6,93E+05
60,5	4,19E+05
61,5	4,16E+05
62,5	3,89E+05
63,5	3,73E+05
64,5	3,64E+05
65,5	3,45E+05
66,5	3,34E+05
67,5	4,28E+05
68,5	3,12E+05
69,5	3,10E+05
70,5	2,47E+05
71,5	2,39E+05
72,5	2,27E+05
73,5	2,10E+05
74,5	1,95E+05
75,5	1,78E+05
76,5	1,67E+05
77,5	1,52E+05
78,5	1,36E+05
79,5	1,20E+05
80,5	1,09E+05
81,5	9,13E+04
82,5	7,31E+04
83,5	6,16E+04
84,5	4,80E+04
85,5	3,17E+04
86,5	1,63E+04
87,5	0,00E+00
